time	I(R1)
Step Information: R1=1K  (Run: 1/10)
0.000000000000000e+000	5.378476e-005
9.827253124775297e-009	5.378476e-005
9.993268749775296e-009	5.378476e-005
1.000000000000000e-008	5.378476e-005
Step Information: R1=2K  (Run: 2/10)
0.000000000000000e+000	2.689243e-005
9.817487499775297e-009	2.689243e-005
9.993268749775296e-009	2.689243e-005
1.000000000000000e-008	2.689243e-005
Step Information: R1=3K  (Run: 3/10)
0.000000000000000e+000	1.792832e-005
9.817487499775297e-009	1.792832e-005
9.993268749775296e-009	1.792832e-005
1.000000000000000e-008	1.792832e-005
Step Information: R1=4K  (Run: 4/10)
0.000000000000000e+000	1.344627e-005
9.817487499775297e-009	1.344627e-005
9.993268749775296e-009	1.344627e-005
1.000000000000000e-008	1.344627e-005
Step Information: R1=5K  (Run: 5/10)
0.000000000000000e+000	1.075704e-005
9.817487499775297e-009	1.075704e-005
9.993268749775296e-009	1.075704e-005
1.000000000000000e-008	1.075704e-005
Step Information: R1=6K  (Run: 6/10)
0.000000000000000e+000	8.964215e-006
9.817487499775297e-009	8.964215e-006
9.993268749775296e-009	8.964215e-006
1.000000000000000e-008	8.964215e-006
Step Information: R1=7K  (Run: 7/10)
0.000000000000000e+000	7.683628e-006
9.817487499775297e-009	7.683628e-006
9.993268749775296e-009	7.683628e-006
1.000000000000000e-008	7.683628e-006
Step Information: R1=8K  (Run: 8/10)
0.000000000000000e+000	6.723188e-006
9.817487499775297e-009	6.723188e-006
9.993268749775296e-009	6.723188e-006
1.000000000000000e-008	6.723188e-006
Step Information: R1=9K  (Run: 9/10)
0.000000000000000e+000	5.976179e-006
9.817487499775297e-009	5.976179e-006
9.993268749775296e-009	5.976179e-006
1.000000000000000e-008	5.976179e-006
Step Information: R1=10K  (Run: 10/10)
0.000000000000000e+000	5.378572e-006
9.817487499775297e-009	5.378572e-006
9.993268749775296e-009	5.378572e-006
1.000000000000000e-008	5.378572e-006
